date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:09	80236/80236	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Oct%202023%2010:13:10%20GMT	https://vcard.bizzlog.com/login2creations	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/login2creations.html	(from )
15:43:10	65/65	---M--	200	added ('OK')	text/plain	date:Thu,%2010%20Nov%202022%2004:53:25%20GMT	https://vcard.bizzlog.com/robots.txt		(from )
15:43:17	19007/19007	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2004:54:03%20GMT	https://vcard.bizzlog.com/assets/css/vcard8.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/vcard8.css	(from https://vcard.bizzlog.com/login2creations)
15:43:17	3362/3362	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2004:54:03%20GMT	https://vcard.bizzlog.com/assets/css/custom-vcard.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/custom-vcard.css	(from https://vcard.bizzlog.com/login2creations)
15:43:17	1328/1328	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2005:38:54%20GMT	https://vcard.bizzlog.com/assets/css/slider/css/slick.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/slider/css/slick.css	(from https://vcard.bizzlog.com/login2creations)
15:43:17	2367/2367	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2004:54:18%20GMT	https://vcard.bizzlog.com/assets/css/slider/css/slick-theme.min.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/slider/css/slick-theme.min.css	(from https://vcard.bizzlog.com/login2creations)
15:43:18	331263/331263	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2004:54:18%20GMT	https://vcard.bizzlog.com/assets/css/third-party.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/third-party.css	(from https://vcard.bizzlog.com/login2creations)
15:43:21	257834/257834	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2012:24:37%20GMT	https://vcard.bizzlog.com/assets/css/style.css	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/css/style.css	(from https://vcard.bizzlog.com/login2creations)
15:43:22	363/363	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2007:35:36%20GMT	https://vcard.bizzlog.com/uploads/settings/17/favicon-16x16.png	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/uploads/settings/17/favicon-16x16.png	(from https://vcard.bizzlog.com/login2creations)
15:43:22	326170/326170	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2003:58:36%20GMT	https://vcard.bizzlog.com/uploads/vcards/covers/2120/slider-(1)-(1).jpg	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/uploads/vcards/covers/2120/slider-(1)-(1).jpg	(from https://vcard.bizzlog.com/login2creations)
15:43:23	35909/35909	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Dec%202022%2007:21:56%20GMT	https://vcard.bizzlog.com/uploads/vcards/profiles/15/profile.jpg	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/uploads/vcards/profiles/15/profile.jpg	(from https://vcard.bizzlog.com/login2creations)
15:43:23	371/371	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Nov%202022%2004:54:03%20GMT	https://vcard.bizzlog.com/assets/img/vcard8/vcard8-email.png	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/img/vcard8/vcard8-email.png	(from https://vcard.bizzlog.com/login2creations)
15:43:23	280/280	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Nov%202022%2004:54:03%20GMT	https://vcard.bizzlog.com/assets/img/vcard8/vcard8-phone.png	C:/My%20Web%20Sites/V%20CARD/vcard.bizzlog.com/assets/img/vcard8/vcard8-phone.png	(from https://vcard.bizzlog.com/login2creations)
